S/No,CASE/CRIME INCIDENCES(HOMICIDES),Totals Cases,Cases under Inquiry,Not Detected/NPW,Cases taken to court,Cases submitted toDPP/RSA,Cases with convictions,Cases with Acquittals,Cases Dismissed,Cases pending in Court,Male Adult,Male Juven,Female Adult,Female Juven,Male Adult,Male Juven,Female Adult,Female Juven,Acquitted,Discharged,Awaiting Trial,Male Adult,Male Juven,Female Adult,Female Juven,Death,Fined,Probation Bound Over,CAUTION,COMM WORK,Fines  Awarded (UgShs),Male Adult,Male Juven,Female Adult,Female Juven,Lost,Recovered
1,Death  (by shooting),1,2,3,4,5,6,7,8,9,10,,,,11,,,,12,13,14,,,,15,16,17,18,19,20,21,,,,22,23,24
2,Death (by mob action),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Death (Poisoning),190,117,29,44,74,3,1,1,39,85,,,,4,,,,1,1,79,4,,,,,,,,,,197,4,17,,11500000,
4,Death (Aggravated Domestic Violence),636,431,109,96,176,2,,1,93,194,,10,,3,,,,,3,198,3,,,,,,,,,,619,11,25,1,,
5,Death(Fire Out Breaks),81,54,12,15,17,,,,15,9,,9,,,,,,,,18,,,,,,,,,,,65,9,14,4,,
8,Other Death (Not Specified above),362,107,24,231,239,15,,2,214,208,4,73,2,7,1,6,,,4,269,3,1,10,,,,,,,,174,25,138,16,,
,Sub Total(Homicides),42,25,11,6,14,,,,6,8,2,3,,,,,,,,13,,,,,,,,,,,16,24,7,19,,
,ECONOMIC CRIMES,3186,1740,626,820,1259,25,2,8,785,1062,29,126,3,27,2,,,3,16,1172,26,1,,,,1,,,1,,2475,192,473,104,600000,
9,Embezzlement,4497,2474,811,1212,1779,45,3,12,1152,1566,35,221,5,41,3,6,,4,24,1749,36,2,10,,,1,,,1,,3546,265,674,144,12100000,
10,Causing Financial losss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Abuse of office,199,172,19,8,48,3,,,5,10,,1,,5,,,,,,6,4,,,,,1,,,,3000000,178,,13,,54403285118,602281000
12,Counterfeiting,58,49,6,3,18,,,,3,3,,,,,,,,,,3,,,,,,,,,,,56,,2,,21829723334,35094000
13,Forgeries & Uttering of Documents,50,39,11,,10,,,,,,,,,,,,,,,,1,,,,,1,,,,,44,,1,,5589167545,487000000
14,Issuing False Cheques,541,215,159,167,244,51,1,30,85,199,1,9,1,55,1,,,6,41,107,26,,,,,8,,13,9,700000,416,3,164,,226405000,13577000
15,Bank and Other Corporate Frauds,898,525,186,187,378,52,5,26,104,196,,30,,51,,12,,10,31,122,37,,2,,,18,,1,5,19490000,713,3,125,,776721600,77321000
16,Obtaining By False Pretences,344,221,80,43,142,9,,4,30,42,,1,,9,,,,,4,30,2,,,,,1,,6,,4800000,283,,69,,46659863708,1369076200
17,Cyber (Computer) crimes,17,15,1,1,6,,,,1,2,,,,,,,,,,2,,,,,,,,,,,15,,2,,1075338441,42870000
18,Land Frauds,12313,5776,3936,2601,4637,817,51,389,1344,2532,13,235,8,771,3,72,8,83,377,1474,491,1,28,,,103,1,107,123,72330000,9525,9,2807,5,121253215820,18452845505
19,Other Economic crimes,198,142,40,16,40,6,,2,8,12,3,4,,3,3,2,,,4,7,1,,,,,2,,2,3,700000,149,,51,,610335098,23317000
,Sub Total(Economic crimes),345,171,124,50,173,9,4,7,30,66,1,26,,6,,1,,2,7,77,4,,,,,1,,,2,26000000,272,,78,,735920000,8250000
,GENERAL CRIMES,136,86,13,37,50,5,,9,23,50,1,1,,5,,,,,18,29,4,,,,,1,,,,400000,124,,22,,3769213107,125626500
,(a) Sex Related Offences,15099,7411,4575,3113,5746,952,61,467,1633,3112,19,307,9,905,7,87,8,101,482,1857,568,1,30,,,136,1,129,142,127420000,11775,15,3333,5,256929188771,21237258205
20,Rape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Defilement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Indecent Assault,1580,618,318,644,798,16,1,7,620,584,12,,,12,1,,,1,7,575,11,,,,,,1,,1,,,,1485,,4016,4000
23,Incest,15366,6166,3615,5585,8179,840,46,429,4270,5199,379,22,147,714,129,3,105,52,415,4329,571,10,4,3,,40,,191,132,27200000,,228,,15366,,
24,Unnatural Offences,396,118,114,164,199,54,3,22,85,158,3,5,,48,5,4,,3,22,84,43,2,1,,,,,5,6,,2,8,293,93,,
,Sub Total(Sex Related),79,29,34,16,21,5,,5,6,16,,7,,5,,3,,,4,11,5,,3,,,,,,,,34,1,57,10,,
,(b) Child Related Offences,100,30,25,45,59,5,,10,30,42,4,1,,5,,,,,10,32,4,,,,,,,1,,,51,40,15,,,
25,Child Neglect,17521,6961,4106,6454,9256,920,50,473,5011,5999,398,35,147,784,135,10,105,56,458,5031,634,12,8,3,,40,1,197,139,27200000,87,277,1849,15469,4016,4000
26,Child Desertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Child Stealing,6757,2499,3865,393,877,120,11,48,214,343,,55,,103,,21,,6,43,225,52,,6,,,3,1,34,28,640000,,4755,,4206,,
28,Child Trafficking,2299,752,1430,117,194,48,1,14,54,58,1,60,1,24,,21,,7,7,61,15,,21,,,,,5,4,,,1585,,1249,,
29,Child Abduction/Kidnap,245,97,95,53,77,19,1,4,29,21,1,28,4,3,,15,3,1,5,27,5,,13,1,,,,2,,,,108,,141,,
31,Child Abuse/Torture,84,33,25,26,39,3,,,23,17,,19,2,,,3,1,,,34,,,3,1,,,,,,,,29,,67,,
32,Infanticide,612,265,248,99,180,17,2,9,71,86,,31,1,11,,6,,2,9,90,8,,1,,,1,,6,1,100000,,214,,461,,
33,Abortion,1449,445,926,78,243,28,,4,46,62,,16,,25,,3,,,4,46,10,,,,,1,,6,11,3000000,,931,,703,,
,Sub Total(Child Related),51,13,21,17,23,4,,3,10,1,,15,1,,,4,,,3,10,1,,3,,,,,,,,,34,,20,,
,(c ) Breakings,92,42,39,11,16,4,1,1,5,5,,7,4,2,,2,,3,2,7,1,,2,,,1,,1,1,300000,,19,,75,,
34,Burglaries,11589,4146,6649,794,1649,243,16,83,452,593,2,231,13,168,,75,4,19,73,500,90,,49,2,,6,1,54,45,4040000,,7675,,6922,,
35,House Breakings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Shop Breaking,6867,2256,1511,3100,3906,851,50,641,1558,3286,141,82,11,876,43,27,1,76,699,1798,735,9,13,,,30,2,62,96,13768000,5126,54,1712,8,14896936673,1449951500
37,Office Breaking,3368,1038,693,1637,1933,471,32,321,813,1641,98,64,6,449,23,16,,52,364,905,355,4,12,,,16,1,38,62,6288000,2482,20,833,29,3935352209,545307100
38,Other Breakings (garage etc ),2000,670,390,940,1224,231,21,181,507,1128,42,24,4,267,7,6,,31,203,684,226,5,5,,,6,1,10,27,6800000,1623,11,421,16,5055172360,705691500
,Sub Total(Breakings),447,223,84,140,210,37,,23,80,185,4,7,,40,1,,,,26,129,29,1,,,,3,,3,5,150000,369,1,77,8,3956916645,410679400
,(d) Thefts,1336,368,264,704,818,192,10,145,357,870,35,19,2,218,10,2,,34,181,481,179,4,1,,,8,,15,23,2200000,1051,3,272,3,9121558001,781194100
39,Theft of Motor Vehicles,14018,4555,2942,6521,8091,1782,113,1311,3315,7110,320,196,23,1850,84,51,1,193,1473,3997,1524,23,31,,,63,4,128,213,29206000,10650,89,3315,64,36965935888,3892823600
40,Theft of Motor Cycles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
